"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region"
"1","6215542","4",NA,225,197,NA,"UF 4.350,00","134575732.5","4350.00","2021-12-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"2","5656304","3",NA,400,135,"3","UF 8.590,00","265748400.5","8590.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"3","5680194","4",NA,220,130,"2","UF 6.980,00","215939911","6980.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"4","5846290","4",NA,300,170,"2","UF 8.750,00","270698312.5","8750.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"5","5985838","4",NA,300,150,"2","UF 9.100,00","281526245","9100.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"6","6024178","4",NA,200,150,"2","UF 5.950,00","184074852.5","5950.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"7","6030203","3",NA,300,128,"2","UF 8.200,00","253682990","8200.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"8","6059114","3",NA,454,145,"2","UF 9.250,00","286166787.5","9250.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"9","6206208","3",NA,NA,126,"2","UF 16.800,00","519740760","16800.00","2021-12-22","Venta Nueva","Casa","region-metropolitana-de-santiago-rm"
"10","5676395","3",NA,159.6,282,"3","UF 12.620,00","390424309","12620.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"11","4908368","4",NA,470,190,"2","UF 14.000,00","433117300","14000.00","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"12","5857769","6",NA,2000,550,"3","$ 560.000.000"," 560000000","18101.3319024661","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"13","5933236","3",NA,140,89,"2","$ 150.000.000"," 150000000","4848.57104530343","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"14","6205525","4",NA,162,150,"2","$ 120.000.000"," 120000000","3878.85683624275","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"15","5389917","5",NA,212,108,"4","$ 85.000.000"," 85000000","2747.52359233861","2021-12-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"16","6176889","4",NA,233,68.72,"1","UF 5.000,00","154684750","5000.00","2021-12-21","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"17","5894111","3",NA,500,130,"3","$ 9.250"," 9250","0.298995214460378","2021-12-21","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"18","6071548","3",NA,154,85,"2","UF 4.100,00","126841495","4100.00","2021-12-21","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"19","6196141","3",NA,70,88,"1","$ 89.000.000"," 89000000","2876.81882021337","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"20","5841656","6",NA,150,144,"1","$ 93.000.000"," 93000000","3006.11404808813","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"21","5585730","3",NA,170,83,"4","UF 4.900,00","151591055","4900.00","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"22","6116118","4",NA,289,177,NA,"UF 6.750,00","208824412.5","6750.00","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"23","5935088","2",NA,79,71,"1","UF 2.370,00","73320571.5","2370.00","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"24","6121863","4",NA,200,123,"3","$ 5.711"," 5711","0.184601261598186","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"25","6195518","4",NA,290,180,"3","$ 220.000.000"," 220000000","7111.2375331117","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"26","6122154","4",NA,171,100,"2","$ 75.000.000"," 75000000","2424.28552265172","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"27","4959696","3",NA,62,45,"2","UF 1.967,00","60852980.65","1967.00","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"28","5400145","3",NA,81,80,"1","$ 67.000.000"," 67000000","2165.6950669022","2021-12-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"29","6194488","4",NA,199,179,"1","$ 180.000.000"," 180000000","5818.28525436412","2021-12-19","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"30","5712648","10",NA,330,310,NA,"UF 11.981,00","370655597.95","11981.00","2021-12-19","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"31","5992878","4",NA,100,140,"1","$ 115.000.000"," 115000000","3717.2378013993","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"32","5877939","4",NA,325,154,"3","UF 9.900,00","306275805","9900.00","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"33","4999101","13",NA,399,290,"4","$ 620.000.000"," 620000000","20040.7603205875","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"34","5607090","4",NA,136,115,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"35","3776733","7",NA,1000,250,"8","$ 139.000.000"," 139000000","4493.00916864785","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"36","6181250","3",NA,189,136,"2","UF 6.200,00","191809090","6200.00","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"37","5054707","2",NA,147,50,"1","UF 3.400,00","105185630","3400.00","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"38","5058991","3",NA,350,100,"3","UF 6.100,00","188715395","6100.00","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"39","5449794","3",NA,150,65,"3","$ 105.000.000"," 105000000","3393.9997317124","2021-12-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"40","5625104","5",NA,180,190,"2","$ 125.000.000"," 125000000","4040.47587108619","2021-12-16","Venta Nueva","Casa","region-metropolitana-de-santiago-rm"
"41","2988676","16",NA,890,389,"3","$ 358.000.000"," 358000000","11571.9228947909","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"42","6177664","3",NA,111.04,91.09,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"43","6177562","3",NA,100,64,"2","UF 2.861,00","88510613.95","2861.00","2021-12-15","Venta Nueva","Casa","region-metropolitana-de-santiago-rm"
"44","6112557","2",NA,NA,54,"1","$ 45.000.000"," 45000000","1454.57131359103","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"45","4842547","3",NA,265,103,NA,"UF 5.400,00","167059530","5400.00","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"46","4574710","3",NA,320,160,"3","UF 5.800,00","179434310","5800.00","2021-12-15","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"47","6171480","3",NA,137,43,"2","$ 89.000.000"," 89000000","2876.81882021337","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"48","6171409","2",NA,128,56,"2","$ 82.000.000"," 82000000","2650.55217143254","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"49","6171381","4",NA,263,128,"2","UF 5.190,00","160562770.5","5190.00","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"50","6005170","4",NA,573,105,"5","$ 95.000.000"," 95000000","3070.76166202551","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"51","6067888","2",NA,180,100,"1","UF 4.500,00","139216275","4500.00","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"52","6067977","4",NA,420,140,"2","UF 10.500,00","324837975","10500.00","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"53","5883840","3",NA,82,73,"2","$ 75.000.000"," 75000000","2424.28552265172","2021-12-14","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"54","5462065","3",NA,98,70,"1","UF 2.160,00","66823812","2160.00","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"55","5462112","2",NA,62,59,"1","UF 1.400,00","43311730","1400.00","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"56","6100802","3",NA,96,134,"1","$ 135.000.000"," 135000000","4363.71394077309","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"57","6103483","3",NA,147,61,"3","$ 105.000.000"," 105000000","3393.9997317124","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"58","5569944","3",NA,200,98,"2","$ 155.000.000"," 155000000","5010.19008014688","2021-12-13","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"59","6004371","3",NA,320,150,"4","$ 149.900.000"," 149900000","4845.33866460656","2021-12-12","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"60","5043539","4",NA,105,100,"1","$ 67.000.000"," 67000000","2165.6950669022","2021-12-11","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"61","5904552","4",NA,404,164,"8","UF 8.581,00","265469967.95","8581.00","2021-12-11","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"62","5904569","3",NA,263,161,"4","UF 6.313,00","195304965.35","6313.00","2021-12-11","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"63","6059363","4",NA,147,99,"1","$ 120.000.000"," 120000000","3878.85683624275","2021-12-10","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"64","4690509","4",NA,750,245,"4","$ 400.000.000"," 400000000","12929.5227874758","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"65","5957648","3",NA,90,60,"1","$ 78.000.000"," 78000000","2521.25694355778","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"66","6146828","4",NA,130,132,"1","$ 87.000.000"," 87000000","2812.17120627599","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"67","3589486","3",NA,70,NA,"1","$ 83.000.000"," 83000000","2682.87597840123","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"68","4643030","4",NA,300,146,"3","$ 135.000.000"," 135000000","4363.71394077309","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"69","5992530","4",NA,75,55,"1","$ 38.000.000"," 38000000","1228.3046648102","2021-12-09","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"70","5340637","3",NA,200,120,"2","$ 94.000.000"," 94000000","3038.43785505682","2021-12-08","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"71","5863650","3",NA,150,59,"1","$ 97.000.000"," 97000000","3135.40927596289","2021-12-08","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"72","5325483","4",NA,200,138,"4","UF 3.090,00","95595175.5","3090.00","2021-12-07","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"73","6138658","5",NA,300,137,"4","$ 262.900.000"," 262900000","8497.92885206848","2021-12-07","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"74","4966205","3",NA,200,159,"2","UF 5.500,00","170153225","5500.00","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"75","5473194","3",NA,200,106,"2","$ 145.000.000"," 145000000","4686.95201045998","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"76","6134236","5",NA,240,165,"1","$ 160.000.000"," 160000000","5171.80911499033","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"77","6133857","3",NA,200,75,"2","$ 160.000.000"," 160000000","5171.80911499033","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"78","6018810","5",NA,300,137,"5","UF 8.499,00","262933138.05","8499.00","2021-12-06","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"79","6118301","6",NA,5000,300,"6","UF 19.500,00","603270525","19500.00","2021-12-02","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"80","6118072","3",NA,207,110,"1","$ 159.000.000"," 159000000","5139.48530802164","2021-12-02","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"81","5634813","6",NA,6942,500,"6","UF 14.400,00","445492080","14400.00","2021-12-02","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"82","6112257","3",NA,198,85,"2","$ 165.000.000"," 165000000","5333.42814983378","2021-12-01","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"83","6111399","6",NA,1510,356,"3","UF 18.000,00","556865100","18000.00","2021-12-01","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"84","6106727","4",NA,180,115,"1","UF 4.400,00","136122580","4400.00","2021-11-30","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"85","6106699","5",NA,330,150,"3","UF 9.350,00","289260482.5","9350.00","2021-11-30","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"86","6100906","3",NA,162,162,"2","$ 110.000.000"," 110000000","3555.61876655585","2021-11-29","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"87","5613900","3",NA,230,96,"2","$ 175.000.000"," 175000000","5656.66621952067","2021-11-28","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"88","5871883","4",NA,136,89,"3","$ 147.000.000"," 147000000","4751.59962439736","2021-11-28","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"89","5733182","3",NA,53,NA,"1","$ 68.000.000"," 68000000","2198.01887387089","2021-11-26","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"90","6080438","4",NA,130,110,"2","UF 3.900,00","120654105","3900.00","2021-11-26","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"91","6080373","4",NA,245,197,"1","UF 6.950,00","215011802.5","6950.00","2021-11-26","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"92","6072055","2",NA,35,NA,"1","$ 40.000.000"," 40000000","1292.95227874758","2021-11-25","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"93","5940836","3",NA,167,NA,"1","$ 102.000.000"," 102000000","3297.02831080633","2021-11-25","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"94","6000091","2",NA,NA,NA,"1","$ 90.000.000"," 90000000","2909.14262718206","2021-11-25","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"95","3988745","4",NA,258.88,177,"2","UF 10.000,00","309369500","10000.00","2021-11-24","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"96","5363152","5",NA,508,255,"5","UF 24.000,00","742486800","24000.00","2021-11-24","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"97","5830442","3",NA,129,49,"2","$ 110.000.000"," 110000000","3555.61876655585","2021-11-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"98","6062791","4",NA,210,160,"2","UF 12.400,00","383618180","12400.00","2021-11-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"99","5842377","3",NA,240,111,"2","UF 7.600,00","235120820","7600.00","2021-11-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"100","6059498","3",NA,86,74,"1","$ 87.000.000"," 87000000","2812.17120627599","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"101","6059395","3",NA,80,71,"1","$ 70.000.000"," 70000000","2262.66648780827","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"102","6059305","3",NA,95,70,"1","$ 87.000.000"," 87000000","2812.17120627599","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"103","6059279","2",NA,81,51,"2","$ 69.000.000"," 69000000","2230.34268083958","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"104","6046636","3",NA,152,120,"3","UF 7.050,00","218105497.5","7050.00","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"105","6059204","2",NA,70,46,"2","$ 67.000.000"," 67000000","2165.6950669022","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"106","6054321","4",NA,330,200,"4","UF 15.000,00","464054250","15000.00","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"107","6046673","3",NA,226,70,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-11-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"108","6018836","3",NA,110,83,"1","UF 4.776,74","147777766.543","4776.74","2021-11-17","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"109","5811333","3",NA,132,87,"2","$ 275.000.000"," 275000000","8889.04691638963","2021-11-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"110","6023915","3",NA,196,97,"3","$ 175.000.000"," 175000000","5656.66621952067","2021-11-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm"
"111","6215280","3",NA,120,76,"3","$ 85.000.000"," 85000000","2747.52359233861","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"112","6215236","4",NA,331,110,"4","$ 110.000.000"," 110000000","3555.61876655585","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"113","6215199","3",NA,NA,95,"2","$ 90.000.000"," 90000000","2909.14262718206","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"114","6215129","4",NA,208,165,"1","$ 235.000.000"," 235000000","7596.09463764204","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"115","6215066","6",NA,327,116,"5","$ 165.000.000"," 165000000","5333.42814983378","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"116","6214921","4",NA,160,138,NA,"UF 7.280,00","225220996","7280.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"117","6214770","4",NA,200,80,"2","$ 115.000.000"," 115000000","3717.2378013993","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"118","5488126","3",NA,68,NA,"1","UF 2.550,00","78889222.5","2550.00","2021-12-23","Venta Nueva","Casa","v-region-de-valparaiso"
"119","6214519","3",NA,NA,NA,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"120","6214480","4",NA,140,120,"1","$ 120.000.000"," 120000000","3878.85683624275","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"121","5501829","4",NA,135,46,"2","UF 2.200,00","68061290","2200.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso"
"122","5999778","5",NA,316,115,"3","$ 78.000.000"," 78000000","2521.25694355778","2021-12-21","Venta Usada","Casa","v-region-de-valparaiso"
"123","6188931","4",NA,150,120,"1","$ 117.000.000"," 117000000","3781.88541533668","2021-12-21","Venta Usada","Casa","v-region-de-valparaiso"
"124","5392367","2",NA,84,51,"3","$ 59.000.000"," 59000000","1907.10461115268","2021-12-21","Venta Usada","Casa","v-region-de-valparaiso"
"125","5314991","3",NA,5200,130,"8","UF 6.800,00","210371260","6800.00","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso"
"126","5478572","4",NA,240,133,"3","UF 8.800,00","272245160","8800.00","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso"
"127","5712592","4",NA,120,92,"1","UF 6.710,00","207586934.5","6710.00","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso"
"128","5959310","4",NA,170,140,"1","$ 210.000.000"," 210000000","6787.9994634248","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso"
"129","6177805","4",NA,230,95,"2","$ 390.000.000"," 390000000","12606.2847177889","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso"
"130","3573510","6",NA,1180,390,"6","UF 21.000,00","649675950","21000.00","2021-12-17","Venta Nueva","Casa","v-region-de-valparaiso"
"131","5512353","4",NA,390,75,"1","$ 66.500.000"," 66500000","2149.53316341785","2021-12-17","Venta Usada","Casa","v-region-de-valparaiso"
"132","5448730","3",NA,327,250,"4","$ 165.000.000"," 165000000","5333.42814983378","2021-12-16","Venta Usada","Casa","v-region-de-valparaiso"
"133","5490228","5",NA,293,149,"2","$ 177.000.000"," 177000000","5721.31383345805","2021-12-16","Venta Usada","Casa","v-region-de-valparaiso"
"134","2988826","5",NA,1000,450,"5","UF 26.000,00","804360700","26000.00","2021-12-15","Venta Usada","Casa","v-region-de-valparaiso"
"135","2988724","5",NA,1000,450,"5","UF 26.000,00","804360700","26000.00","2021-12-14","Venta Usada","Casa","v-region-de-valparaiso"
"136","3062650","4",NA,140,130,NA,"$ 215.000.000"," 215000000","6949.61849826825","2021-12-13","Venta Usada","Casa","v-region-de-valparaiso"
"137","6133710","3",NA,120,90,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-12-10","Venta Usada","Casa","v-region-de-valparaiso"
"138","2844770","3",NA,116,116,"3","$ 110.000.000"," 110000000","3555.61876655585","2021-12-09","Venta Usada","Casa","v-region-de-valparaiso"
"139","4923923","6",NA,240,160,"2","$ 70.000.000"," 70000000","2262.66648780827","2021-12-09","Venta Usada","Casa","v-region-de-valparaiso"
"140","2447111","3",NA,500,150,"4","$ 196.000.000"," 196000000","6335.46616586315","2021-12-07","Venta Usada","Casa","v-region-de-valparaiso"
"141","4661291","5",NA,301,178,"2","UF 10.500,00","324837975","10500.00","2021-12-07","Venta Usada","Casa","v-region-de-valparaiso"
"142","4866536","4",NA,450,288,"4","UF 17.500,00","541396625","17500.00","2021-12-07","Venta Nueva","Casa","v-region-de-valparaiso"
"143","5750661","3",NA,NA,NA,NA,"UF 3.780,00","116941671","3780.00","2021-12-06","Venta Nueva","Casa","v-region-de-valparaiso"
"144","4688316","4",NA,400,160,"2","UF 6.990,00","216249280.5","6990.00","2021-12-04","Venta Usada","Casa","v-region-de-valparaiso"
"145","5084005","4",NA,510,NA,"3","UF 5.377,00","166347980.15","5377.00","2021-12-04","Venta Usada","Casa","v-region-de-valparaiso"
"146","5501458","3",NA,260,165,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-12-04","Venta Usada","Casa","v-region-de-valparaiso"
"147","6119491","10",NA,NA,390,NA,"$ 195.000.000"," 195000000","6303.14235889446","2021-12-03","Venta Usada","Casa","v-region-de-valparaiso"
"148","6118038","5",NA,5000,63,"8","UF 22.366,00","691935823.7","22366.00","2021-12-02","Venta Nueva","Casa","v-region-de-valparaiso"
"149","5707142","6",NA,409,205,"3","UF 11.000,00","340306450","11000.00","2021-12-01","Venta Usada","Casa","v-region-de-valparaiso"
"150","5647374","4",NA,425,250,"4","$ 270.000.000"," 270000000","8727.42788154618","2021-12-01","Venta Usada","Casa","v-region-de-valparaiso"
"151","5573553","10",NA,250,NA,NA,"$ 210.000.000"," 210000000","6787.9994634248","2021-12-01","Venta Usada","Casa","v-region-de-valparaiso"
"152","5592511","4",NA,354,230,"2","$ 305.000.000"," 305000000","9858.76112545031","2021-11-30","Venta Usada","Casa","v-region-de-valparaiso"
"153","5316544","5",NA,750,396,"4","UF 21.000,00","649675950","21000.00","2021-11-29","Venta Usada","Casa","v-region-de-valparaiso"
"154","5659612","9",NA,400,180,"4","UF 7.635,00","236203613.25","7635.00","2021-11-29","Venta Usada","Casa","v-region-de-valparaiso"
"155","6103145","3",NA,136,NA,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-11-29","Venta Usada","Casa","v-region-de-valparaiso"
"156","5884381","3",NA,300,92,"3","$ 88.000.000"," 88000000","2844.49501324468","2021-11-25","Venta Usada","Casa","v-region-de-valparaiso"
"157","5909024","6",NA,400,260,"3","UF 11.000,00","340306450","11000.00","2021-11-25","Venta Usada","Casa","v-region-de-valparaiso"
"158","5718365","4",NA,350,125,"2","$ 170.000.000"," 170000000","5495.04718467722","2021-11-24","Venta Usada","Casa","v-region-de-valparaiso"
